[0.030s][info][class,load] opened: C:\Users\andre\.jdks\temurin-11.0.20.1\lib\modules
[0.053s][info][class,load] jdk.internal.reflect.FieldAccessor source: jrt:/java.base
[0.053s][info][class,load] jdk.internal.reflect.FieldAccessorImpl source: jrt:/java.base
[0.053s][info][class,load] jdk.internal.reflect.UnsafeFieldAccessorImpl source: jrt:/java.base
[0.053s][info][class,load] jdk.internal.reflect.UnsafeStaticFieldAccessorImpl source: jrt:/java.base
[0.053s][info][class,load] java.lang.annotation.Annotation source: jrt:/java.base
[0.053s][info][class,load] jdk.internal.reflect.CallerSensitive source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.MethodHandle source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.DirectMethodHandle source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.VarHandle source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.MemberName source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.ResolvedMethodName source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.MethodHandleNatives source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.LambdaForm source: jrt:/java.base
[0.054s][info][class,load] java.lang.invoke.MethodType source: jrt:/java.base
[0.055s][info][class,load] java.lang.BootstrapMethodError source: jrt:/java.base
[0.055s][info][class,load] java.lang.invoke.CallSite source: jrt:/java.base
[0.055s][info][class,load] java.lang.invoke.MethodHandleNatives$CallSiteContext source: jrt:/java.base
[0.055s][info][class,load] java.lang.invoke.ConstantCallSite source: jrt:/java.base
[0.055s][info][class,load] java.lang.invoke.MutableCallSite source: jrt:/java.base
[0.055s][info][class,load] java.lang.invoke.VolatileCallSite source: jrt:/java.base
[0.055s][info][class,load] java.lang.AssertionStatusDirectives source: jrt:/java.base
[0.055s][info][class,load] java.lang.Appendable source: jrt:/java.base
[0.055s][info][class,load] java.lang.AbstractStringBuilder source: jrt:/java.base
[0.055s][info][class,load] java.lang.StringBuffer source: jrt:/java.base
[0.055s][info][class,load] java.lang.StringBuilder source: jrt:/java.base
[0.056s][info][class,load] jdk.internal.misc.Unsafe source: jrt:/java.base
[0.056s][info][class,load] jdk.internal.module.Modules source: jrt:/java.base
[0.056s][info][class,load] java.lang.AutoCloseable source: jrt:/java.base
[0.056s][info][class,load] java.io.Closeable source: jrt:/java.base
[0.056s][info][class,load] java.io.InputStream source: jrt:/java.base
[0.056s][info][class,load] java.io.ByteArrayInputStream source: jrt:/java.base
[0.056s][info][class,load] java.net.URL source: jrt:/java.base
[0.056s][info][class,load] java.util.jar.Manifest source: jrt:/java.base
[0.056s][info][class,load] jdk.internal.loader.ClassLoaders source: jrt:/java.base
[0.056s][info][class,load] jdk.internal.loader.BuiltinClassLoader source: jrt:/java.base
[0.056s][info][class,load] jdk.internal.loader.ClassLoaders$AppClassLoader source: jrt:/java.base
[0.056s][info][class,load] jdk.internal.loader.ClassLoaders$PlatformClassLoader source: jrt:/java.base
[0.056s][info][class,load] java.security.CodeSource source: jrt:/java.base
[0.056s][info][class,load] java.lang.StackTraceElement source: jrt:/java.base
[0.057s][info][class,load] java.nio.Buffer source: jrt:/java.base
[0.057s][info][class,load] java.lang.StackWalker source: jrt:/java.base
[0.057s][info][class,load] java.lang.StackStreamFactory$AbstractStackWalker source: jrt:/java.base
[0.057s][info][class,load] java.lang.StackWalker$StackFrame source: jrt:/java.base
[0.057s][info][class,load] java.lang.StackFrameInfo source: jrt:/java.base
[0.057s][info][class,load] java.lang.LiveStackFrame source: jrt:/java.base
[0.057s][info][class,load] java.lang.LiveStackFrameInfo source: jrt:/java.base
[0.057s][info][class,load] java.util.concurrent.locks.AbstractOwnableSynchronizer source: jrt:/java.base
[0.057s][info][class,load] java.lang.Boolean source: jrt:/java.base
[0.057s][info][class,load] java.lang.Character source: jrt:/java.base
[0.057s][info][class,load] java.lang.Number source: jrt:/java.base
[0.057s][info][class,load] java.lang.Float source: jrt:/java.base
[0.057s][info][class,load] java.lang.Double source: jrt:/java.base
[0.057s][info][class,load] java.lang.Byte source: jrt:/java.base
[0.057s][info][class,load] java.lang.Short source: jrt:/java.base
[0.058s][info][class,load] java.lang.Integer source: jrt:/java.base
[0.058s][info][class,load] java.lang.Long source: jrt:/java.base
[0.058s][info][class,load] java.util.Iterator source: jrt:/java.base
[0.058s][info][class,load] java.lang.NullPointerException source: jrt:/java.base
[0.058s][info][class,load] java.lang.ArithmeticException source: jrt:/java.base
[0.060s][info][class,load] java.io.ObjectStreamField source: jrt:/java.base
[0.061s][info][class,load] java.util.Comparator source: jrt:/java.base
[0.061s][info][class,load] java.lang.String$CaseInsensitiveComparator source: jrt:/java.base
[0.061s][info][class,load] java.security.AccessController source: jrt:/java.base
[0.061s][info][class,load] java.lang.Iterable source: jrt:/java.base
[0.061s][info][class,load] java.util.Collection source: jrt:/java.base
[0.061s][info][class,load] java.util.Set source: jrt:/java.base
[0.062s][info][class,load] java.util.AbstractCollection source: jrt:/java.base
[0.062s][info][class,load] java.util.ImmutableCollections$AbstractImmutableCollection source: jrt:/java.base
[0.062s][info][class,load] java.util.ImmutableCollections$AbstractImmutableSet source: jrt:/java.base
[0.062s][info][class,load] java.util.ImmutableCollections$Set12 source: jrt:/java.base
[0.062s][info][class,load] java.util.Objects source: jrt:/java.base
[0.062s][info][class,load] java.security.PrivilegedAction source: jrt:/java.base
[0.062s][info][class,load] jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction source: jrt:/java.base
[0.062s][info][class,load] java.security.cert.Certificate source: jrt:/java.base
[0.062s][info][class,load] java.util.AbstractSet source: jrt:/java.base
[0.062s][info][class,load] java.util.HashSet source: jrt:/java.base
[0.063s][info][class,load] java.util.AbstractMap source: jrt:/java.base
[0.063s][info][class,load] java.util.HashMap source: jrt:/java.base
[0.063s][info][class,load] java.util.concurrent.ConcurrentMap source: jrt:/java.base
[0.063s][info][class,load] java.util.concurrent.ConcurrentHashMap source: jrt:/java.base
[0.064s][info][class,load] java.lang.Runtime source: jrt:/java.base
[0.064s][info][class,load] java.util.concurrent.locks.Lock source: jrt:/java.base
[0.064s][info][class,load] java.util.concurrent.locks.ReentrantLock source: jrt:/java.base
[0.064s][info][class,load] java.util.concurrent.ConcurrentHashMap$Segment source: jrt:/java.base
[0.064s][info][class,load] java.util.concurrent.ConcurrentHashMap$CounterCell source: jrt:/java.base
[0.065s][info][class,load] java.util.Map$Entry source: jrt:/java.base
[0.065s][info][class,load] java.util.concurrent.ConcurrentHashMap$Node source: jrt:/java.base
[0.065s][info][class,load] java.util.concurrent.locks.LockSupport source: jrt:/java.base
[0.065s][info][class,load] java.util.concurrent.ConcurrentHashMap$ReservationNode source: jrt:/java.base
[0.065s][info][class,load] jdk.internal.reflect.ReflectionFactory source: jrt:/java.base
[0.065s][info][class,load] java.lang.ref.Reference$ReferenceHandler source: jrt:/java.base
[0.065s][info][class,load] jdk.internal.ref.Cleaner source: jrt:/java.base
[0.065s][info][class,load] java.lang.ref.ReferenceQueue source: jrt:/java.base
[0.065s][info][class,load] java.lang.ref.ReferenceQueue$Null source: jrt:/java.base
[0.065s][info][class,load] java.lang.ref.ReferenceQueue$Lock source: jrt:/java.base
[0.065s][info][class,load] jdk.internal.misc.JavaLangRefAccess source: jrt:/java.base
[0.065s][info][class,load] java.lang.ref.Reference$1 source: jrt:/java.base
[0.066s][info][class,load] jdk.internal.misc.SharedSecrets source: jrt:/java.base
[0.066s][info][class,load] java.lang.ref.Finalizer$FinalizerThread source: jrt:/java.base
[0.066s][info][class,load] jdk.internal.misc.VM source: jrt:/java.base
[0.072s][info][class,load] java.lang.StringLatin1 source: jrt:/java.base
[0.073s][info][class,load] java.util.Properties$EntrySet source: jrt:/java.base
[0.074s][info][class,load] java.util.concurrent.ConcurrentHashMap$CollectionView source: jrt:/java.base
[0.074s][info][class,load] java.util.concurrent.ConcurrentHashMap$EntrySetView source: jrt:/java.base
[0.074s][info][class,load] java.util.Collections source: jrt:/java.base
[0.075s][info][class,load] java.util.Collections$EmptySet source: jrt:/java.base
[0.075s][info][class,load] java.util.RandomAccess source: jrt:/java.base
[0.075s][info][class,load] java.util.List source: jrt:/java.base
[0.076s][info][class,load] java.util.AbstractList source: jrt:/java.base
[0.076s][info][class,load] java.util.Collections$EmptyList source: jrt:/java.base
[0.076s][info][class,load] java.util.Collections$EmptyMap source: jrt:/java.base
[0.076s][info][class,load] java.util.Collections$SynchronizedCollection source: jrt:/java.base
[0.076s][info][class,load] java.util.Collections$SynchronizedSet source: jrt:/java.base
[0.077s][info][class,load] java.lang.reflect.Array source: jrt:/java.base
[0.077s][info][class,load] java.util.concurrent.ConcurrentHashMap$Traverser source: jrt:/java.base
[0.077s][info][class,load] java.util.concurrent.ConcurrentHashMap$BaseIterator source: jrt:/java.base
[0.077s][info][class,load] java.util.concurrent.ConcurrentHashMap$EntryIterator source: jrt:/java.base
[0.078s][info][class,load] java.util.concurrent.ConcurrentHashMap$MapEntry source: jrt:/java.base
[0.078s][info][class,load] java.util.ImmutableCollections$AbstractImmutableMap source: jrt:/java.base
[0.078s][info][class,load] java.util.ImmutableCollections$MapN source: jrt:/java.base
[0.079s][info][class,load] java.lang.Math source: jrt:/java.base
[0.079s][info][class,load] jdk.internal.util.StaticProperty source: jrt:/java.base
[0.080s][info][class,load] java.lang.VersionProps source: jrt:/java.base
[0.080s][info][class,load] java.io.FileInputStream source: jrt:/java.base
[0.080s][info][class,load] java.io.FileDescriptor source: jrt:/java.base
[0.081s][info][class,load] jdk.internal.misc.JavaIOFileDescriptorAccess source: jrt:/java.base
[0.081s][info][class,load] java.io.FileDescriptor$1 source: jrt:/java.base
[0.081s][info][class,load] java.io.Flushable source: jrt:/java.base
[0.081s][info][class,load] java.io.OutputStream source: jrt:/java.base
[0.081s][info][class,load] java.io.FileOutputStream source: jrt:/java.base
[0.081s][info][class,load] java.io.FilterInputStream source: jrt:/java.base
[0.082s][info][class,load] java.io.BufferedInputStream source: jrt:/java.base
[0.082s][info][class,load] java.io.FilterOutputStream source: jrt:/java.base
[0.082s][info][class,load] java.io.PrintStream source: jrt:/java.base
[0.082s][info][class,load] java.io.BufferedOutputStream source: jrt:/java.base
[0.082s][info][class,load] java.io.Writer source: jrt:/java.base
[0.082s][info][class,load] java.io.OutputStreamWriter source: jrt:/java.base
[0.083s][info][class,load] java.nio.charset.Charset source: jrt:/java.base
[0.083s][info][class,load] java.nio.charset.spi.CharsetProvider source: jrt:/java.base
[0.083s][info][class,load] sun.nio.cs.StandardCharsets source: jrt:/java.base
[0.083s][info][class,load] java.lang.ThreadLocal source: jrt:/java.base
[0.083s][info][class,load] java.util.concurrent.atomic.AtomicInteger source: jrt:/java.base
[0.083s][info][class,load] sun.security.action.GetPropertyAction source: jrt:/java.base
[0.083s][info][class,load] sun.util.PreHashedMap source: jrt:/java.base
[0.083s][info][class,load] sun.nio.cs.StandardCharsets$Aliases source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.StandardCharsets$Cache source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.HistoricallyNamedCharset source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.Unicode source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.UTF_8 source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.ISO_8859_1 source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.US_ASCII source: jrt:/java.base
[0.084s][info][class,load] java.nio.charset.StandardCharsets source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.UTF_16BE source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.UTF_16LE source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.UTF_16 source: jrt:/java.base
[0.084s][info][class,load] sun.nio.cs.StandardCharsets$Classes source: jrt:/java.base
[0.085s][info][class,load] java.util.Arrays source: jrt:/java.base
[0.085s][info][class,load] sun.nio.cs.MS1252 source: jrt:/java.base
[0.085s][info][class,load] java.lang.StringUTF16 source: jrt:/java.base
[0.085s][info][class,load] sun.nio.cs.SingleByte source: jrt:/java.base
[0.086s][info][class,load] java.lang.Class$ReflectionData source: jrt:/java.base
[0.086s][info][class,load] java.lang.Class$Atomic source: jrt:/java.base
[0.086s][info][class,load] java.lang.reflect.Modifier source: jrt:/java.base
[0.086s][info][class,load] jdk.internal.reflect.LangReflectAccess source: jrt:/java.base
[0.086s][info][class,load] java.lang.reflect.ReflectAccess source: jrt:/java.base
[0.086s][info][class,load] java.lang.Class$1 source: jrt:/java.base
[0.086s][info][class,load] jdk.internal.reflect.Reflection source: jrt:/java.base
[0.086s][info][class,load] java.util.HashMap$Node source: jrt:/java.base
[0.086s][info][class,load] jdk.internal.reflect.NativeConstructorAccessorImpl source: jrt:/java.base
[0.086s][info][class,load] jdk.internal.reflect.DelegatingConstructorAccessorImpl source: jrt:/java.base
[0.087s][info][class,load] sun.nio.cs.StreamEncoder source: jrt:/java.base
[0.087s][info][class,load] sun.nio.cs.ArrayEncoder source: jrt:/java.base
[0.087s][info][class,load] java.nio.charset.CharsetEncoder source: jrt:/java.base
[0.087s][info][class,load] sun.nio.cs.SingleByte$Encoder source: jrt:/java.base
[0.087s][info][class,load] java.nio.charset.CodingErrorAction source: jrt:/java.base
[0.087s][info][class,load] java.nio.ByteBuffer source: jrt:/java.base
[0.087s][info][class,load] jdk.internal.misc.JavaNioAccess source: jrt:/java.base
[0.087s][info][class,load] java.nio.Buffer$1 source: jrt:/java.base
[0.087s][info][class,load] java.nio.HeapByteBuffer source: jrt:/java.base
[0.087s][info][class,load] java.nio.ByteOrder source: jrt:/java.base
[0.088s][info][class,load] java.io.BufferedWriter source: jrt:/java.base
[0.088s][info][class,load] java.lang.Terminator source: jrt:/java.base
[0.088s][info][class,load] jdk.internal.misc.Signal$Handler source: jrt:/java.base
[0.088s][info][class,load] java.lang.Terminator$1 source: jrt:/java.base
[0.088s][info][class,load] jdk.internal.misc.Signal source: jrt:/java.base
[0.088s][info][class,load] java.util.Hashtable$Entry source: jrt:/java.base
[0.088s][info][class,load] jdk.internal.misc.Signal$NativeHandler source: jrt:/java.base
[0.088s][info][class,load] java.lang.Integer$IntegerCache source: jrt:/java.base
[0.088s][info][class,load] jdk.internal.misc.OSEnvironment source: jrt:/java.base
[0.088s][info][class,load] sun.io.Win32ErrorMode source: jrt:/java.base
[0.088s][info][class,load] jdk.internal.misc.JavaLangAccess source: jrt:/java.base
[0.088s][info][class,load] java.lang.System$2 source: jrt:/java.base
[0.089s][info][class,load] java.io.File source: jrt:/java.base
[0.089s][info][class,load] java.io.DefaultFileSystem source: jrt:/java.base
[0.089s][info][class,load] java.io.FileSystem source: jrt:/java.base
[0.089s][info][class,load] java.io.WinNTFileSystem source: jrt:/java.base
[0.089s][info][class,load] java.io.ExpiringCache source: jrt:/java.base
[0.089s][info][class,load] java.util.LinkedHashMap source: jrt:/java.base
[0.089s][info][class,load] java.io.ExpiringCache$1 source: jrt:/java.base
[0.089s][info][class,load] java.lang.IllegalArgumentException source: jrt:/java.base
[0.090s][info][class,load] java.lang.invoke.MethodHandleStatics source: jrt:/java.base
[0.091s][info][class,load] java.lang.CharacterData source: jrt:/java.base
[0.091s][info][class,load] java.lang.CharacterDataLatin1 source: jrt:/java.base
[0.093s][info][class,load] jdk.internal.module.ModuleBootstrap source: jrt:/java.base
[0.093s][info][class,load] java.lang.module.ModuleDescriptor source: jrt:/java.base
[0.094s][info][class,load] jdk.internal.misc.JavaLangModuleAccess source: jrt:/java.base
[0.094s][info][class,load] java.lang.module.ModuleDescriptor$1 source: jrt:/java.base
[0.094s][info][class,load] java.util.ImmutableCollections source: jrt:/java.base
[0.094s][info][class,load] jdk.internal.module.ModulePatcher source: jrt:/java.base
[0.095s][info][class,load] java.util.ImmutableCollections$SetN source: jrt:/java.base
[0.095s][info][class,load] jdk.internal.module.ArchivedModuleGraph source: jrt:/java.base
[0.095s][info][class,load] jdk.internal.module.SystemModuleFinders source: jrt:/java.base
[0.096s][info][class,load] java.net.URI source: jrt:/java.base
[0.096s][info][class,load] jdk.internal.misc.JavaNetUriAccess source: jrt:/java.base
[0.096s][info][class,load] java.net.URI$1 source: jrt:/java.base
[0.096s][info][class,load] jdk.internal.module.SystemModulesMap source: jrt:/java.base
[0.097s][info][class,load] jdk.internal.module.SystemModules source: jrt:/java.base
[0.097s][info][class,load] jdk.internal.module.SystemModules$default source: jrt:/java.base
[0.098s][info][class,load] jdk.internal.module.Builder source: jrt:/java.base
[0.098s][info][class,load] java.lang.module.ModuleDescriptor$Requires source: jrt:/java.base
[0.098s][info][class,load] java.lang.module.ModuleDescriptor$Exports source: jrt:/java.base
[0.099s][info][class,load] java.lang.module.ModuleDescriptor$Opens source: jrt:/java.base
[0.099s][info][class,load] java.lang.module.ModuleDescriptor$Provides source: jrt:/java.base
[0.099s][info][class,load] java.util.ImmutableCollections$AbstractImmutableList source: jrt:/java.base
[0.100s][info][class,load] java.util.ImmutableCollections$List12 source: jrt:/java.base
[0.100s][info][class,load] java.lang.module.ModuleDescriptor$Version source: jrt:/java.base
[0.100s][info][class,load] java.util.ArrayList source: jrt:/java.base
[0.101s][info][class,load] java.lang.Enum source: jrt:/java.base
[0.101s][info][class,load] java.lang.module.ModuleDescriptor$Modifier source: jrt:/java.base
[0.101s][info][class,load] java.lang.module.ModuleDescriptor$Requires$Modifier source: jrt:/java.base
[0.102s][info][class,load] java.util.ImmutableCollections$ListN source: jrt:/java.base
[0.104s][info][class,load] jdk.internal.module.ModuleTarget source: jrt:/java.base
[0.104s][info][class,load] jdk.internal.module.ModuleHashes source: jrt:/java.base
[0.104s][info][class,load] jdk.internal.module.ModuleHashes$Builder source: jrt:/java.base
[0.105s][info][class,load] java.util.LinkedHashMap$Entry source: jrt:/java.base
[0.105s][info][class,load] java.util.HashMap$TreeNode source: jrt:/java.base
[0.105s][info][class,load] java.util.Collections$UnmodifiableMap source: jrt:/java.base
[0.105s][info][class,load] jdk.internal.module.ModuleResolution source: jrt:/java.base
[0.105s][info][class,load] java.lang.module.ModuleReference source: jrt:/java.base
[0.105s][info][class,load] java.util.function.Supplier source: jrt:/java.base
[0.105s][info][class,load] jdk.internal.module.SystemModuleFinders$2 source: jrt:/java.base
[0.106s][info][class,load] jdk.internal.module.ModuleReferenceImpl source: jrt:/java.base
[0.106s][info][class,load] java.util.KeyValueHolder source: jrt:/java.base
[0.106s][info][class,load] jdk.internal.module.ModuleHashes$HashSupplier source: jrt:/java.base
[0.106s][info][class,load] jdk.internal.module.SystemModuleFinders$3 source: jrt:/java.base
[0.106s][info][class,load] java.lang.module.ModuleFinder source: jrt:/java.base
[0.106s][info][class,load] jdk.internal.module.SystemModuleFinders$SystemModuleFinder source: jrt:/java.base
[0.107s][info][class,load] jdk.internal.module.ModuleBootstrap$Counters source: jrt:/java.base
[0.107s][info][class,load] java.util.Optional source: jrt:/java.base
[0.107s][info][class,load] jdk.internal.loader.BootLoader source: jrt:/java.base
[0.107s][info][class,load] jdk.internal.module.ServicesCatalog source: jrt:/java.base
[0.107s][info][class,load] jdk.internal.loader.AbstractClassLoaderValue source: jrt:/java.base
[0.107s][info][class,load] jdk.internal.loader.ClassLoaderValue source: jrt:/java.base
[0.107s][info][class,load] jdk.internal.loader.ClassLoaders$BootClassLoader source: jrt:/java.base
[0.108s][info][class,load] java.lang.ClassLoader$ParallelLoaders source: jrt:/java.base
[0.108s][info][class,load] java.util.WeakHashMap source: jrt:/java.base
[0.108s][info][class,load] java.util.WeakHashMap$Entry source: jrt:/java.base
[0.108s][info][class,load] java.util.Collections$SetFromMap source: jrt:/java.base
[0.108s][info][class,load] java.util.WeakHashMap$KeySet source: jrt:/java.base
[0.108s][info][class,load] java.util.Vector source: jrt:/java.base
[0.109s][info][class,load] jdk.internal.misc.JavaSecurityAccess source: jrt:/java.base
[0.109s][info][class,load] java.security.ProtectionDomain$JavaSecurityAccessImpl source: jrt:/java.base
[0.109s][info][class,load] java.security.ProtectionDomain$Key source: jrt:/java.base
[0.109s][info][class,load] java.security.Principal source: jrt:/java.base
[0.109s][info][class,load] jdk.internal.loader.URLClassPath source: jrt:/java.base
[0.109s][info][class,load] java.net.URLStreamHandlerFactory source: jrt:/java.base
[0.109s][info][class,load] java.net.URL$DefaultFactory source: jrt:/java.base
[0.109s][info][class,load] jdk.internal.misc.JavaNetURLAccess source: jrt:/java.base
[0.109s][info][class,load] java.net.URL$3 source: jrt:/java.base
[0.110s][info][class,load] java.io.File$PathStatus source: jrt:/java.base
[0.110s][info][class,load] java.io.ExpiringCache$Entry source: jrt:/java.base
[0.111s][info][class,load] sun.net.www.ParseUtil source: jrt:/java.base
[0.111s][info][class,load] java.net.URLStreamHandler source: jrt:/java.base
[0.111s][info][class,load] sun.net.www.protocol.file.Handler source: jrt:/java.base
[0.111s][info][class,load] sun.net.util.IPAddressUtil source: jrt:/java.base
[0.158s][info][class,load] java.util.Queue source: jrt:/java.base
[0.158s][info][class,load] java.util.Deque source: jrt:/java.base
[0.158s][info][class,load] java.util.ArrayDeque source: jrt:/java.base
[0.158s][info][class,load] jdk.internal.util.Preconditions source: jrt:/java.base
[0.159s][info][class,load] jdk.internal.loader.BuiltinClassLoader$LoadedModule source: jrt:/java.base
[0.159s][info][class,load] sun.net.www.protocol.jrt.Handler source: jrt:/java.base
[0.159s][info][class,load] java.util.ImmutableCollections$SetN$SetNIterator source: jrt:/java.base
[0.160s][info][class,load] java.lang.module.Configuration source: jrt:/java.base
[0.160s][info][class,load] java.lang.module.ResolvedModule source: jrt:/java.base
[0.161s][info][class,load] java.util.AbstractMap$1 source: jrt:/java.base
[0.161s][info][class,load] java.util.AbstractMap$1$1 source: jrt:/java.base
[0.162s][info][class,load] java.util.ImmutableCollections$MapN$1 source: jrt:/java.base
[0.162s][info][class,load] java.util.ImmutableCollections$MapN$MapNIterator source: jrt:/java.base
[0.163s][info][class,load] java.util.ImmutableCollections$Set12$1 source: jrt:/java.base
[0.164s][info][class,load] jdk.internal.module.ModuleLoaderMap source: jrt:/java.base
[0.164s][info][class,load] java.util.function.Function source: jrt:/java.base
[0.165s][info][class,load] jdk.internal.module.ModuleLoaderMap$Mapper source: jrt:/java.base
[0.167s][info][class,load] java.util.concurrent.ConcurrentHashMap$ForwardingNode source: jrt:/java.base
[0.169s][info][class,load] java.lang.ModuleLayer source: jrt:/java.base
[0.169s][info][class,load] java.util.ListIterator source: jrt:/java.base
[0.169s][info][class,load] java.util.ImmutableCollections$ListItr source: jrt:/java.base
[0.170s][info][class,load] java.util.ArrayList$Itr source: jrt:/java.base
[0.173s][info][class,load] java.util.Collections$UnmodifiableCollection source: jrt:/java.base
[0.173s][info][class,load] java.util.Collections$UnmodifiableSet source: jrt:/java.base
[0.174s][info][class,load] java.util.Collections$UnmodifiableCollection$1 source: jrt:/java.base
[0.179s][info][class,load] java.util.concurrent.CopyOnWriteArrayList source: jrt:/java.base
[0.180s][info][class,load] jdk.internal.module.ServicesCatalog$ServiceProvider source: jrt:/java.base
[0.180s][info][class,load] java.util.HashMap$KeySet source: jrt:/java.base
[0.181s][info][class,load] java.util.HashMap$HashIterator source: jrt:/java.base
[0.181s][info][class,load] java.util.HashMap$KeyIterator source: jrt:/java.base
[0.181s][info][class,load] java.lang.ModuleLayer$Controller source: jrt:/java.base
[0.181s][info][class,load] java.lang.invoke.LambdaMetafactory source: jrt:/java.base
[0.182s][info][class,load] java.lang.invoke.MethodHandles$Lookup source: jrt:/java.base
